MONEY RESET - MONTHLY BUDGET,,,
(Import into Google Sheets or Excel. Fill in the Amount columns - totals at the bottom.),,,
,,,
INCOME,Expected,Actual,Notes
Paycheck 1,,,
Paycheck 2,,,
Side hustle,,,
Other,,,
TOTAL INCOME,,,
,,,
FIXED BILLS,Due Date,Amount,Paid? (Y/N)
Rent / Mortgage,,,
Utilities,,,
Phone / Internet,,,
Insurance,,,
Transport / Car,,,
Subscriptions,,,
Minimum debt payments,,,
TOTAL FIXED,,,
,,,
FLEXIBLE SPENDING,Budget,Actual,Difference
Groceries,,,
Eating out,,,
Fun / Entertainment,,,
Personal / Clothing,,,
Other,,,
TOTAL FLEXIBLE,,,
,,,
SUMMARY,,,
Total income,,,
Minus fixed bills,,,
Minus flexible spending,,,
LEFT FOR SAVINGS,,,
